,Title,ISSN,Price,Type,PDF.downloads,downloads.2012,downloads.2013,downloads.2014,downloads.2015,downloads.2016,downloads.2017,downloads.2018,downloads.max,median.snip,editors,subj.BUS,subj.HUM,subj.LAW,subj.MED,subj.NSEG,subj.SSDG,Published.2012,Published.2013,Published.2014,Published.2015,Published.2016,Published.2017,Published.2018,Published.mean,reviewers
772,American Journal of Kidney Diseases,0272-6386,1380.16,Subscribed,7465,1425,1928,2897,2837,2854,3017,3342,3342,1.949,FALSE,NA,NA,NA,1,NA,NA,9,6,6,9,2,9,8,7,TRUE
790,American Journal of Obstetrics and Gynecology,0002-9378,1472.72,Subscribed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,1,NA,NA,6,9,7,8,9,5,12,8,FALSE
791,American Journal of Obstetrics and Gynecology MFM,2589-9333,0,Freedom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0,0,FALSE
793,American Journal of Ophthalmology,0002-9394,1342,Subscribed,8080,2491,2659,3155,2640,2783,2217,2511,3155,2.344,FALSE,NA,NA,NA,1,NA,NA,18,14,9,12,7,8,18,12.28571429,FALSE
794,American Journal of Ophthalmology Case Reports,2451-9936,0,Open,71,0,0,0,0,23,100,105,105,NA,FALSE,NA,NA,NA,1,NA,NA,0,0,0,0,3,1,8,1.714285714,FALSE
795,American Journal of Orthodontics and Dentofacial Orthopedics,0889-5406,950,Freedom,509,167,150,235,118,201,160,124,235,1.596,FALSE,NA,NA,NA,1,NA,NA,0,1,0,0,0,0,0,0.142857143,FALSE
798,American Journal of Otolaryngology,0196-0709,873,Subscribed,836,222,309,334,293,308,197,350,350,NA,FALSE,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0,0,FALSE
818,American Journal of Preventive Medicine,0749-3797,1319,Subscribed,7871,2867,2765,2804,2949,3297,3290,3788,3788,2.073,FALSE,NA,NA,NA,1,NA,NA,5,5,9,3,2,7,7,5.428571429,FALSE
876,Ampersand,2215-0390,0,Open,1,0,0,0,1,1,5,5,5,NA,FALSE,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,FALSE
881,Anaerobe,1075-9964,1096,Freedom,491,131,193,212,121,250,300,235,300,1.002,FALSE,NA,NA,NA,1,NA,NA,0,0,0,0,0,1,0,0.142857143,FALSE
884,Anaesthesia and Intensive Care Medicine,1472-0299,1297,Freedom,805,243,141,364,414,343,321,281,414,NA,FALSE,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0,0,FALSE
885,Anaesthesia Critical Care and Pain Medicine,2352-5568,903,Freedom,140,0,0,0,19,110,84,132,132,NA,FALSE,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,2,0.285714286,FALSE
895,Analytic Methods in Accident Research,2213-6657,468,Freedom,4,0,0,2,3,0,1,6,6,3.0385,FALSE,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,FALSE
