Journal_title,ISSN,2012,2013,2014,2015,2016,2017,2018
Asian Journal of Clinical Nutrition,19921470,NA,NA,NA,NA,NA,NA,2.268
Asian Security,14799855,NA,NA,NA,2.803,NA,NA,NA
Assessing Writing,10752935,NA,NA,NA,NA,2.315,NA,NA
"Assessment in Education: Principles, Policy and Practice",0969594X,NA,NA,NA,NA,NA,NA,2.14
Asthma Research and Practice,,NA,NA,NA,NA,NA,NA,2.917
Astra Salvensis,23934727,NA,NA,NA,NA,NA,NA,2.235
Astronomy and Astrophysics Review,09354956,3.714,4.017,3.32,3.564,3.133,2.169,2.317
Astroparticle Physics,09276505,2.213,2.42,NA,3.468,NA,2.635,NA
"Astrophysical Journal, Supplement Series",00670049,4.735,3.258,3.568,3.137,2.861,2.508,2.242
Atomic Data and Nuclear Data Tables,0092640X,NA,NA,NA,NA,NA,2.308,3.05
Audiology and Neurotology Extra,,NA,NA,NA,NA,3.981,NA,NA
Australia and New Zealand Health Policy,17438462,2.344,NA,NA,NA,NA,NA,NA
Autoimmunity Reviews,15689972,NA,NA,2.324,2.6,3.157,3.297,2.471
Automated Experimentation,,NA,2.256,NA,NA,NA,NA,NA
Automated Software Engineering,09288910,NA,NA,2.276,NA,NA,NA,NA
Automatica,00051098,3.596,3.19,2.943,3.213,2.986,3.422,3.107
Automation in Construction,09265805,2.58,2.869,2.597,2.383,2.737,2.578,2.589
Autonomous Agents and Multi-Agent Systems,13872532,3.382,2.792,2.464,NA,NA,NA,NA
Autonomous Robots,09295593,2.558,2.517,2.988,2.423,2.39,NA,NA
Avicenna Journal of Phytomedicine,22287930,NA,NA,2.669,NA,NA,NA,NA
Bacteriophage,21597073,NA,NA,NA,NA,NA,NA,2.631
Behavior Research Methods,1554351X,NA,NA,NA,2.245,NA,NA,2.333
Behavioral and Brain Sciences,0140525X,10.667,3.505,5.451,NA,2.26,2.306,3.479
Bell Labs Technical Journal,10897089,NA,NA,NA,NA,2.331,3.302,10.803
Best Practice and Research in Clinical Endocrinology and Metabolism,1521690X,2.297,NA,NA,NA,NA,NA,NA
Big Data,21676461,NA,NA,NA,2.295,NA,NA,NA
Big Data Research,22145796,NA,NA,NA,4.456,2.554,NA,3.159
Biochemia Medica,13300962,NA,NA,NA,NA,NA,2.229,2.336
Biochimica et Biophysica Acta - Reviews on Cancer,0304419X,2.491,2.28,NA,2.335,2.193,2.143,NA
Biofuel Research Journal,,NA,NA,NA,NA,2.19,NA,NA
Biogeosciences Discussions,18106277,4.323,NA,NA,NA,NA,NA,NA
