Journal_title,ISSN,2012,2013,2014,2015,2016,2017,2018
Cancer and Metabolism,,NA,NA,NA,2.836,5.0,3.102,NA
Cancer and Metastasis Reviews,01677659,2.682,NA,NA,NA,NA,NA,NA
Cancer Cell,15356108,4.965,4.932,4.643,4.938,5.09,4.868,4.574
Cancer Discovery,21598274,NA,NA,NA,NA,2.128,2.434,3.034
Cancer Research and Treatment,15982998,NA,2.268,NA,2.215,NA,NA,NA
Cancer Treatment Reviews,03057372,2.548,2.27,2.391,2.438,2.53,2.781,2.276
Capitalism and Society,21946140,NA,NA,NA,NA,NA,NA,2.391
Cardiovascular Psychiatry and Neurology,20900163,NA,NA,NA,NA,NA,NA,2.323
Career Development for Exceptional Individuals,08857288,2.214,NA,NA,NA,NA,NA,NA
Case Studies in Mechanical Systems and Signal Processing,,NA,NA,NA,NA,NA,2.655,NA
Case Studies in Nondestructive Testing and Evaluation,22146571,NA,NA,NA,NA,NA,NA,2.805
Catalysis Reviews - Science and Engineering,01614940,3.767,2.331,3.627,2.675,2.206,2.18,2.659
CBE Life Sciences Education,19317913,NA,NA,NA,NA,2.415,NA,NA
Celestial Mechanics and Dynamical Astronomy,09232958,2.339,NA,NA,NA,NA,NA,NA
Cell,00928674,6.381,5.834,5.928,5.912,6.05,5.951,6.57
Cell Host and Microbe,19313128,2.239,NA,NA,2.28,2.54,2.931,2.891
Cell Metabolism,15504131,2.895,2.854,3.087,3.582,3.802,3.922,4.225
Cell Stem Cell,19345909,3.689,3.47,3.159,3.642,4.291,4.32,3.623
Cell Systems,,NA,NA,NA,NA,2.182,2.275,NA
Cement and Concrete Composites,09589465,3.4,3.251,3.178,2.742,2.865,2.925,2.857
Cement and Concrete Research,00088846,3.852,3.926,3.546,3.127,3.187,3.257,3.554
Central Asia and the Caucasus,14046091,NA,NA,NA,NA,NA,3.211,NA
Central Europe,14790963,NA,NA,NA,2.127,NA,NA,NA
Central European History,00089389,NA,NA,NA,NA,NA,NA,2.589
Cephalalgia,03331024,NA,NA,NA,2.619,2.199,NA,NA
Cerebellum and Ataxias,20538871,NA,NA,NA,NA,4.371,NA,NA
Chem,24519294,NA,NA,NA,NA,NA,2.263,2.816
Chemical Reviews,00092665,11.278,12.737,11.356,11.189,10.419,12.012,12.162
Chemical Society Reviews,03060012,6.626,6.492,7.486,7.684,7.64,7.955,8.015
Chemistry of Materials,08974756,2.238,2.243,2.204,NA,NA,NA,NA
Chemotherapy Research and Practice,20902107,NA,2.618,NA,NA,NA,NA,NA
Chest,00123692,2.363,3.074,2.893,2.916,NA,NA,2.22
Child Development,00093920,2.608,3.015,3.013,2.31,2.242,2.424,2.326
Child Development Perspectives,17508592,NA,NA,NA,2.327,2.301,NA,2.236
China Journal,13249347,NA,2.488,NA,NA,2.162,2.496,NA
Chinese Herbal Medicines,16746384,NA,NA,NA,NA,NA,3.15,NA
Chinese Physics C,16741137,NA,NA,NA,NA,2.536,2.445,NA
Circulation,00097322,4.651,4.848,4.65,4.867,5.404,5.465,5.205
Circulation Research,00097330,2.498,2.538,2.28,2.363,2.504,2.92,2.795
Circulation: Arrhythmia and Electrophysiology,19413149,2.228,NA,NA,NA,NA,NA,NA
Circulation: Cardiovascular Interventions,19417640,NA,2.275,2.214,2.196,NA,NA,NA
CIRP Annals - Manufacturing Technology,00078506,4.107,3.738,3.927,3.294,3.168,2.789,3.568
Cities,02642751,NA,NA,NA,2.117,NA,NA,NA
Cladistics,07483007,NA,2.449,2.728,2.882,2.472,3.273,3.079
Classical Antiquity,02786656,2.414,NA,NA,NA,NA,NA,NA
Clinical and molecular hepatology,22872728,NA,NA,NA,NA,NA,NA,3.204
Clinical Biochemist Reviews,01598090,NA,2.233,NA,NA,NA,NA,NA
Clinical Cancer Research,10780432,NA,NA,NA,2.123,NA,NA,NA
Clinical Chemistry,00099147,2.372,NA,NA,NA,NA,NA,NA
Clinical Child and Family Psychology Review,10964037,2.22,3.551,2.696,2.505,NA,2.215,2.516
Clinical Epidemiology,11791349,NA,NA,NA,2.65,3.183,2.855,NA
Clinical Infectious Diseases,10584838,3.193,3.328,3.39,3.063,2.586,2.827,2.725
Clinical journal of the American Society of Nephrology : CJASN,15559041,NA,2.303,NA,NA,NA,NA,2.123
Clinical Microbiology and Infection,1198743X,NA,NA,2.207,NA,NA,NA,NA
Clinical Microbiology Reviews,08938512,9.236,10.294,8.31,7.939,8.951,9.202,9.259
Clinical Oral Implants Research,09057161,2.209,NA,NA,2.197,NA,NA,NA
Clinical Pharmacokinetics,03125963,2.267,2.323,NA,NA,NA,NA,NA
Clinical Psychological Science,21677026,NA,NA,2.266,2.541,2.288,NA,NA
Clinical Psychology Review,02727358,3.746,4.513,4.104,4.257,4.718,4.402,4.634
Clinics in Dermatology,0738081X,NA,NA,2.337,2.745,NA,NA,NA
Cliodynamics,,NA,NA,NA,NA,2.274,NA,NA
CMAJ,00084409,2.195,NA,NA,NA,NA,NA,NA
Coastal Engineering,03783839,2.163,2.204,NA,NA,2.251,NA,2.206
Cochrane Database of Systematic Reviews,13616137,2.205,3.553,NA,NA,NA,NA,NA
CoDesign,15710882,NA,NA,NA,NA,NA,2.161,NA
Cognitive Linguistics,09365907,NA,NA,NA,NA,NA,2.277,NA
Cognitive Psychology,00100285,3.154,2.81,2.611,NA,2.415,NA,NA
Cognitive Systems Research,13890417,2.258,NA,NA,NA,NA,NA,NA
Cold Spring Harbor perspectives in biology,19430264,NA,NA,NA,2.325,2.37,2.23,2.541
Cold Spring Harbor perspectives in medicine,,NA,NA,2.249,2.247,NA,NA,NA
College and Research Libraries,00100870,2.245,2.888,3.318,2.684,2.325,NA,NA
Colonial Latin American Review,10609164,NA,NA,2.415,NA,NA,NA,NA
Columbia Law Review,00101958,2.395,NA,NA,NA,2.121,2.343,NA
Combinatorica,02099683,NA,NA,NA,NA,NA,2.366,NA
Combustion and Flame,00102180,2.777,2.566,2.31,2.402,2.176,2.205,2.303
Communication Education,03634523,NA,NA,2.205,2.124,NA,NA,NA
Communication Monographs,03637751,2.218,NA,NA,NA,NA,NA,NA
Communication Research,00936502,NA,NA,2.297,NA,NA,NA,NA
Communication Theory,10503293,NA,NA,NA,3.347,2.955,2.717,3.275
Communications of the ACM,00010782,3.383,4.334,3.643,3.784,3.394,2.671,3.166
Communications on Pure and Applied Mathematics,00103640,2.869,3.23,2.709,3.217,3.078,3.045,2.727
Comparative Political Studies,00104140,2.375,2.272,2.471,2.484,2.462,2.585,2.386
Comparative Politics,00104159,NA,NA,2.284,2.183,NA,NA,NA
Comparative Studies in Society and History,00104175,2.719,NA,2.271,NA,2.241,NA,2.197
Complex Adaptive Systems Modeling,,NA,NA,4.71,4.044,2.505,NA,NA
Complex Manifolds,,NA,NA,NA,2.656,NA,NA,NA
Composite Structures,02638223,2.75,2.857,2.467,2.234,NA,NA,NA
Composites - Part A: Applied Science and Manufacturing,1359835X,2.727,2.848,2.555,2.204,2.161,NA,2.592
Composites Part B: Engineering,13598368,2.199,2.437,2.365,2.226,2.395,NA,2.466
Composites Science and Technology,02663538,2.745,2.518,2.417,NA,NA,NA,NA
Comprehensive Physiology,20404603,NA,NA,NA,2.472,2.732,2.824,2.487
Comprehensive Reviews in Food Science and Food Safety,15414337,3.337,4.176,2.976,2.742,3.099,3.669,3.861
Comptes Rendus Physique,16310705,NA,NA,NA,2.463,NA,NA,NA
Computational Intelligence and Neuroscience,16875265,NA,2.436,2.684,NA,NA,NA,NA
Computational Linguistics,08912017,2.488,3.532,4.19,3.107,3.834,2.569,3.793
Computational Science and Discovery,17494680,2.24,NA,NA,NA,NA,2.37,4.7
Computational Social Networks,,NA,NA,NA,2.784,NA,NA,NA
Computer Assisted Language Learning,09588221,NA,NA,NA,NA,2.567,NA,NA
Computer Communication Review,01464833,2.571,NA,NA,NA,NA,3.583,2.786
Computer Methods in Applied Mechanics and Engineering,03742830,2.221,2.221,NA,2.094,NA,NA,NA
Computer Networks,13891286,2.149,2.361,NA,NA,NA,NA,NA
Computer Optics,01342452,NA,NA,NA,NA,NA,NA,2.389
Computer Science Review,15740137,4.767,2.249,2.484,3.379,5.607,4.916,5.391
Computer Speech and Language,08852308,2.407,2.666,NA,NA,NA,NA,NA
Computer Standards and Interfaces,09205489,2.521,NA,NA,NA,NA,NA,NA
Computer Supported Cooperative Work,09259724,NA,NA,NA,NA,2.113,NA,NA
Computer Vision and Image Understanding,10773142,2.363,2.422,NA,NA,NA,NA,NA
Computer-Aided Civil and Infrastructure Engineering,10939687,2.208,NA,2.455,2.152,2.295,2.142,2.204
Computers and Education,03601315,3.03,3.192,3.1,3.34,3.146,3.597,3.797
Computers and Electronics in Agriculture,01681699,NA,2.345,NA,NA,NA,NA,NA
Computers and Geotechnics,0266352X,2.937,2.862,2.519,NA,2.332,2.4,2.134
Computers and Operations Research,03050548,2.746,2.909,2.282,NA,2.198,NA,2.275
Computers and Security,01674048,2.459,2.575,NA,2.322,2.117,2.197,2.303
Computers and Structures,00457949,2.195,2.383,2.421,2.302,NA,NA,NA
Computers in Human Behavior,07475632,NA,2.473,2.335,2.159,2.173,2.147,2.245
Computers in Industry,01663615,3.08,3.085,2.307,NA,NA,NA,2.395
"Computers, Environment and Urban Systems",01989715,2.442,2.259,NA,2.191,NA,2.322,2.334
Comunicar,11343478,NA,NA,2.864,2.726,2.741,2.251,2.121
Conservation Biology,08888892,NA,NA,NA,NA,NA,NA,2.256
Conservation Letters,1755263X,NA,NA,NA,NA,NA,2.287,2.429
Constraints,13837133,2.551,NA,2.312,NA,NA,NA,NA
Construction and Building Materials,09500618,3.279,2.952,2.559,2.237,2.366,2.322,2.369
Contemporary Accounting Research,08239150,NA,NA,NA,2.125,2.749,NA,NA
Contemporary Educational Psychology,0361476X,2.506,2.345,2.439,NA,2.167,2.413,2.189
Contributions to Political Economy,02775921,NA,NA,NA,NA,NA,2.953,NA
Control Engineering Practice,09670661,3.013,3.11,2.464,NA,NA,NA,NA
Coordination Chemistry Reviews,00108545,3.749,3.647,3.438,3.303,3.176,3.344,3.166
Corporate Social Responsibility and Environmental Management,15353958,NA,NA,NA,2.204,2.903,2.41,2.372
Corrosion Science,0010938X,2.747,2.945,2.966,2.778,2.459,2.34,2.595
Creativity Studies,23450479,NA,NA,2.87,NA,NA,NA,NA
Criminology,00111384,2.991,3.015,3.044,3.153,3.353,3.3,2.667
Critical Care,13648535,NA,NA,NA,NA,NA,2.222,2.313
Critical Care Medicine,00903493,2.607,2.552,2.888,2.896,3.031,2.215,2.122
Critical Discourse Studies,17405904,2.554,NA,NA,NA,NA,NA,NA
Critical Inquiry,00931896,4.648,4.305,4.604,3.294,3.244,NA,2.505
Critical Reviews in Biotechnology,07388551,2.214,3.012,2.319,NA,NA,NA,NA
Critical Reviews in Clinical Laboratory Sciences,10408363,NA,2.285,2.296,NA,NA,NA,NA
Critical Reviews in Environmental Science and Technology,10643389,NA,NA,NA,NA,2.168,2.757,2.392
Critical Reviews in Food Science and Nutrition,10408398,2.646,2.367,2.403,2.271,2.166,NA,2.222
Critical Reviews in Microbiology,1040841X,2.598,2.433,NA,NA,NA,NA,NA
Critical Reviews in Plant Sciences,07352689,2.182,2.797,2.554,2.643,3.237,2.688,2.606
Critical Reviews in Solid State and Materials Sciences,10408436,3.738,2.266,2.284,2.324,2.341,2.523,3.221
Critical Reviews in Toxicology,10408444,2.152,2.385,NA,NA,NA,NA,NA
Critical Studies in Education,17508487,NA,NA,NA,NA,2.203,NA,NA
Critical Studies in Television,17496020,NA,NA,NA,2.37,NA,NA,NA
Cultural Anthropology,08867356,4.824,3.004,2.827,3.195,2.376,NA,2.896
Cultural Geographies,14744740,NA,NA,NA,NA,NA,2.46,NA
Current Anthropology,00113204,NA,2.231,2.774,2.192,2.28,2.421,NA
Current Biology,09609822,NA,NA,NA,NA,2.135,2.241,2.135
Current Directions in Psychological Science,09637214,2.322,2.633,2.83,2.807,2.776,3.205,2.524
Current Issues in Tourism,13683500,NA,NA,NA,NA,NA,NA,2.125
Current Opinion in Biotechnology,09581669,2.301,2.198,NA,2.135,2.118,2.231,NA
Current Opinion in Cell Biology,09550674,2.653,2.223,NA,NA,2.241,NA,NA
Current Opinion in Chemical Biology,13675931,2.408,2.235,NA,NA,NA,NA,NA
Current Opinion in Colloid and Interface Science,13590294,2.794,2.358,2.504,2.248,2.105,2.145,NA
Current Opinion in Microbiology,13695274,2.165,NA,NA,NA,NA,NA,NA
Current Opinion in Plant Biology,13695266,2.197,NA,NA,NA,NA,NA,NA
Current Opinion in Solid State and Materials Science,13590286,2.478,3.365,2.869,2.189,2.126,2.64,2.697
Current Opinion in Structural Biology,0959440X,2.28,NA,NA,NA,NA,NA,NA
Current Protocols in Bioinformatics,19343396,NA,NA,NA,NA,3.501,3.115,2.266
Current Sociology,00113921,NA,NA,NA,NA,2.192,NA,NA
Current Topics in Microbiology and Immunology,0070217X,NA,NA,NA,NA,NA,NA,2.341
Current World Environment,09734929,NA,NA,NA,2.342,NA,NA,NA
Cybermetrics,11375019,NA,NA,NA,NA,3.642,NA,NA
Cytokine and Growth Factor Reviews,13596101,2.465,2.493,NA,NA,2.182,2.278,NA
Data and Knowledge Engineering,0169023X,2.745,2.303,NA,2.129,NA,NA,NA
Data Mining and Knowledge Discovery,13845810,3.215,2.892,3.507,2.704,2.328,2.312,2.672
Dead Sea Discoveries,09290761,NA,NA,NA,NA,NA,2.425,NA
Decision Support Systems,01679236,2.596,2.376,2.466,2.275,2.445,2.204,2.448
Demography,00703370,NA,2.21,NA,2.269,2.205,NA,NA
Dental Materials,01095641,2.349,2.672,2.55,NA,2.134,NA,NA
Desalination,00119164,NA,NA,2.228,NA,NA,NA,NA
Design Studies,0142694X,2.636,2.231,2.559,3.079,2.481,2.266,2.512
Deutsches Arzteblatt,01763989,NA,2.35,NA,12.164,NA,NA,NA
Deutsches Ärzteblatt international,18660452,NA,2.377,2.664,NA,NA,NA,NA
Developmental Cell,15345807,2.752,2.54,2.335,2.17,2.138,NA,NA
Developmental Disabilities Research Reviews,19405510,2.509,NA,NA,2.724,2.967,NA,NA
Developmental Psychology,00121649,NA,NA,2.211,NA,NA,NA,NA
Developmental Review,02732297,2.349,2.774,2.513,2.918,2.361,2.753,3.722
Diabetes Care,19355548,3.259,3.605,3.486,3.648,3.734,3.971,4.196
Dialogue and Discourse,,NA,NA,NA,NA,NA,NA,2.283
Differences,10407391,NA,NA,NA,NA,2.162,2.99,NA
Digital Applications in Archaeology and Cultural Heritage,22120548,NA,NA,3.538,NA,NA,NA,NA
Digital Communications and Networks,24685925,NA,NA,NA,NA,NA,2.645,NA
Digital Investigation,17422876,2.554,2.596,2.473,NA,NA,NA,NA
Digital Journalism,21670811,NA,NA,2.859,3.254,NA,NA,NA
Diplomatic History,01452096,NA,NA,NA,NA,2.22,NA,2.169
Discrete Event Dynamic Systems: Theory and Applications,09246703,NA,NA,2.423,NA,NA,NA,NA
Domes : digest of Middle East studies,10604367,NA,NA,NA,NA,NA,7.039,NA
Drug Resistance Updates,13687646,2.228,3.085,3.156,3.066,2.263,2.793,3.244
Duke Mathematical Journal,00127094,2.36,2.598,2.506,2.679,2.718,2.801,2.376
Dynamic Medicine,14765918,6.814,NA,NA,NA,NA,NA,NA
Early Childhood Research Quarterly,08852006,NA,2.271,NA,NA,NA,NA,NA
Earth System Science Data,18663508,NA,NA,NA,2.323,2.622,2.668,3.111
Earth-Science Reviews,00128252,4.142,3.961,3.67,3.167,3.356,3.326,3.794
Earthquake Engineering and Structural Dynamics,00988847,2.671,2.813,2.903,2.757,2.232,2.36,2.377
Earthquake Spectra,87552930,NA,NA,NA,NA,NA,2.439,NA
Ecological Monographs,00129615,3.311,3.057,3.394,2.917,3.753,3.387,2.767
Ecology Letters,1461023X,3.588,3.466,3.655,3.411,3.303,3.339,3.79
Econometric Reviews,07474938,NA,NA,2.217,2.127,NA,NA,NA
Econometrica,00129682,5.716,4.569,5.296,4.643,4.187,4.591,4.699
Economic Geography,00130095,2.728,2.871,2.319,NA,2.514,2.393,2.366
Economic History Review,00130117,2.307,2.316,NA,NA,NA,NA,NA
Economic Journal,00130133,2.654,3.032,3.176,3.024,2.475,3.297,2.61
Economic Policy,02664658,3.938,4.114,3.114,2.772,2.944,2.866,2.459
Economic Systems Research,09535314,NA,NA,NA,NA,2.506,NA,NA
Economics and Sociology,2071789X,NA,NA,NA,2.17,NA,NA,NA
Economics of Energy and Environmental Policy,21605882,NA,NA,3.058,NA,NA,NA,NA
Economics of Transportation,22120122,NA,3.117,NA,NA,NA,NA,NA
Economy and Society,03085147,2.508,NA,2.264,NA,2.308,NA,NA
Ecosystem Services,22120416,NA,NA,2.57,NA,NA,NA,NA
Education Sciences,,NA,NA,NA,NA,NA,NA,5.305
Educational Administration Quarterly,0013161X,NA,NA,2.831,3.252,2.255,2.293,2.112
Educational Evaluation and Policy Analysis,01623737,3.107,NA,NA,2.147,2.313,2.531,2.962
Educational Measurement: Issues and Practice,07311745,NA,NA,NA,NA,NA,NA,2.14
Educational Psychologist,00461520,3.371,4.081,4.737,4.527,5.094,4.252,4.222
Educational Psychology Review,1040726X,2.165,2.699,2.483,2.387,2.22,2.8,4.271
Educational Research Review,1747938X,2.764,5.643,3.379,4.029,5.078,4.588,5.253
Educational Researcher,0013189X,4.249,4.57,4.41,4.597,4.32,4.359,3.446
Educational Studies in Mathematics,00131954,2.192,NA,NA,NA,NA,NA,NA
Egyptian Informatics Journal,11108665,NA,NA,NA,NA,NA,2.475,2.774
Egyptian Journal of Remote Sensing and Space Science,11109823,NA,NA,NA,NA,NA,NA,3.005
Electronic Commerce Research,13895753,NA,NA,2.314,NA,NA,NA,NA
Electronic Commerce Research and Applications,15674223,NA,NA,2.397,2.177,2.357,NA,NA
Electronic Materials Letters,17388090,NA,2.498,NA,NA,NA,NA,NA
Elements,18115209,NA,NA,NA,2.213,NA,NA,NA
ELH - English Literary History,00138304,NA,NA,NA,NA,NA,2.534,NA
Emergency,23454571,NA,NA,NA,NA,NA,2.435,NA
Emergency Medicine International,20902840,NA,NA,NA,2.199,NA,NA,NA
Emerging Health Threats Journal,17528550,NA,NA,NA,NA,NA,3.615,4.386
Emerging Infectious Diseases,10806040,NA,2.265,2.403,NA,2.237,NA,NA
Empirical Software Engineering,13823256,3.06,2.515,2.207,NA,2.29,2.628,2.698
Endocrine Reviews,0163769X,6.637,6.437,5.927,6.134,5.328,5.031,5.656
Energy,03605442,2.214,2.545,2.59,NA,NA,NA,NA
Energy and Buildings,03787788,2.696,2.408,2.883,2.144,NA,NA,NA
Energy and Environmental Science,17545692,2.586,2.988,3.975,4.182,4.326,4.805,4.622
Energy Conversion and Management,01968904,2.236,2.51,2.779,NA,NA,2.247,2.151
Energy Education Science and Technology Part A: Energy Science and Research,1308772X,5.394,NA,NA,NA,NA,NA,NA
Energy Education Science and Technology Part B: Social and Educational Studies,13087711,6.239,NA,NA,NA,NA,NA,NA
Energy Reports,23524847,NA,NA,NA,NA,NA,2.344,2.451
Energy Research and Social Science,,NA,NA,NA,NA,2.124,NA,NA
Engineering,20958099,NA,NA,NA,NA,NA,NA,2.189
Engineering Applications of Artificial Intelligence,09521976,2.441,2.222,2.283,NA,NA,NA,NA
Engineering Geology,00137952,NA,2.2,NA,NA,2.367,2.208,2.338
"Engineering Science and Technology, an International Journal",,NA,NA,NA,NA,2.487,NA,2.432
Engineering Structures,01410296,2.605,2.764,2.487,2.143,NA,2.163,NA
Engineering Studies,19378629,NA,NA,NA,2.154,NA,NA,NA
English for Specific Purposes,08894906,2.219,NA,2.42,2.682,NA,2.343,NA
Enterprise Information Systems,17517575,2.572,NA,3.152,NA,NA,NA,NA
Entrepreneurship and Sustainability Issues,,NA,NA,NA,NA,NA,NA,5.038
Entrepreneurship Theory and Practice,10422587,3.061,2.859,2.621,2.621,2.578,2.771,3.333
Environment and Behavior,00139165,NA,NA,NA,2.295,NA,2.26,NA
Environment and Planning D: Society and Space,02637758,NA,2.371,NA,NA,NA,NA,NA
Environment and Society: Advances in Research,21506779,NA,NA,NA,NA,NA,2.242,NA
Environmental Carcinogenesis and Ecotoxicology Reviews,10590501,2.19,NA,NA,NA,NA,NA,NA
Environmental Health Perspectives,00916765,2.306,2.332,2.324,2.429,2.446,2.496,2.209
Environmental Innovation and Societal Transitions,22104224,NA,NA,NA,NA,NA,NA,2.27
Environmental International,01604120,2.451,NA,2.29,2.121,2.424,2.269,2.505
Environmental Modelling and Software,13648152,NA,2.429,2.441,2.142,NA,NA,NA
Ephemeris Napocensis,12205249,NA,2.282,NA,NA,NA,NA,NA
Epidemiologic Perspectives and Innovations,17425573,NA,2.673,5.977,7.098,NA,NA,NA
Epidemiologic Reviews,0193936X,5.288,4.66,2.937,3.528,3.888,3.691,2.841
Epidemiology,10443983,NA,2.274,NA,NA,NA,NA,NA
Epilepsia,00139580,NA,NA,NA,NA,NA,NA,2.157
Epilepsy Currents,15357597,2.445,NA,NA,NA,NA,NA,NA
EPJ Data Science,,NA,NA,2.861,NA,NA,NA,NA
Erasmus Journal for Philosophy and Economics,,NA,NA,NA,2.885,NA,NA,NA
Estudios de Linguistica del Espanola,11398736,NA,NA,5.0,NA,NA,NA,NA
Ethics,00141704,3.247,3.965,2.454,2.908,2.376,2.435,NA
Ethnobiology and Conservation,22384782,NA,NA,NA,NA,NA,2.351,NA
Ethnomusicology,00141836,NA,NA,NA,2.367,NA,2.355,NA
Eurasip Journal on Information Security,16874161,NA,2.772,2.767,NA,2.714,NA,NA
European Heart Journal,0195668X,4.578,5.573,5.248,5.466,5.325,6.406,5.554
European Heart Journal Cardiovascular Imaging,20472404,NA,NA,NA,NA,NA,2.283,2.455
European Journal of Agronomy,11610301,2.163,NA,NA,2.169,NA,NA,NA
European Journal of Cancer,09598049,2.16,NA,NA,2.102,2.209,NA,NA
"European Journal of Cancer, Supplement",13596349,NA,NA,NA,NA,NA,2.34,3.549
European Journal of Contemporary Education,23049650,NA,NA,NA,NA,NA,NA,2.139
European Journal of Epidemiology,03932990,NA,NA,NA,NA,2.172,NA,2.18
European Journal of Geography,,NA,NA,3.731,NA,NA,NA,NA
European Journal of Heart Failure,13889842,NA,2.276,2.396,2.137,NA,2.696,2.799
European Journal of Information Systems,0960085X,NA,NA,NA,NA,2.366,2.393,2.225
European Journal of International Relations,13540661,NA,2.247,NA,2.513,2.492,2.815,2.598
European Journal of Operational Research,03772217,2.541,2.67,2.408,2.346,2.417,2.442,2.455
European Journal of Political Research,03044130,NA,NA,NA,3.194,NA,NA,NA
European Journal of Scientific Research,1450202X,NA,NA,NA,NA,NA,3.776,NA
European Political Science Review,17557739,2.529,NA,NA,NA,NA,NA,NA
European Research Studies Journal,11082976,NA,NA,NA,NA,NA,4.702,2.169
European Respiratory Journal,09031936,2.448,2.446,2.362,2.364,2.35,2.408,2.397
European Respiratory Review,09059180,NA,NA,2.612,NA,NA,NA,NA
European Review of Social Psychology,10463283,3.286,NA,NA,NA,NA,3.097,2.504
European Sociological Review,02667215,2.651,2.826,2.203,NA,NA,2.254,2.225
European Urology,03022838,3.889,4.476,4.797,4.771,4.863,5.147,5.384
Eurosurveillance,15607917,NA,NA,NA,NA,2.411,2.163,NA
Evidence-Based Child Health,20404050,NA,NA,NA,NA,2.283,NA,NA
Evolutionary Computation,10636560,2.332,3.013,3.104,2.204,NA,NA,2.448
Exceptional Children,00144029,2.538,2.751,NA,2.531,2.26,NA,NA
Exercise and Sport Sciences Reviews,00916331,NA,2.199,NA,NA,NA,NA,NA
Exercise Immunology Review,10775552,2.723,3.164,3.099,NA,2.407,2.854,3.23
Experimental and Translational Stroke Medicine,20407378,NA,NA,NA,NA,NA,NA,4.102
Experimental Economics,13864157,NA,2.47,2.336,NA,NA,NA,2.243
Expert Systems with Applications,09574174,2.407,2.333,2.546,2.509,2.446,2.44,2.696
F1000Prime Reports,20517599,NA,NA,NA,NA,NA,2.151,NA
Family Business Review,08944865,NA,NA,NA,2.677,NA,2.157,NA
Feminist Theory,14647001,NA,NA,NA,NA,NA,2.149,NA
FEMS Microbiology Reviews,01686445,3.865,4.235,4.092,4.498,3.921,3.531,2.883
Film Quarterly,00151386,2.965,NA,NA,NA,NA,NA,NA
Finance and Stochastics,09492984,2.937,NA,2.277,NA,NA,NA,NA
Financial Analysts Journal,0015198X,NA,NA,NA,2.131,NA,NA,NA
Finnisch-Ugrische Forschungen,03551253,NA,NA,NA,2.267,NA,NA,NA
Fire Safety Journal,03797112,2.689,2.806,NA,NA,NA,NA,NA
Fish and Fisheries,14672960,2.822,3.177,3.441,3.255,3.548,3.189,2.831
Focus on Exceptional Children,0015511X,NA,2.544,3.323,NA,NA,NA,NA
Folk Music Journal,05319684,NA,NA,NA,NA,NA,2.179,NA
Food and Bioprocess Technology,19355130,2.743,NA,NA,NA,NA,NA,NA
Food and Energy Security,,NA,NA,NA,NA,NA,NA,2.144
Food Chemistry,03088146,2.331,NA,NA,NA,2.102,2.154,2.17
Food Hydrocolloids,0268005X,NA,2.262,2.537,NA,NA,NA,NA
Food Policy,03069192,NA,NA,NA,NA,NA,2.519,NA
Foreign Affairs,00157120,3.251,3.159,2.387,2.674,NA,NA,NA
Forensic Science Review,10427201,NA,NA,NA,NA,2.176,NA,NA
"Forum of Mathematics, Pi",,NA,NA,NA,5.594,6.166,3.711,5.378
"Forum of Mathematics, Sigma",,NA,NA,2.475,NA,NA,NA,NA
Fossils and Strata,03009491,2.365,NA,NA,NA,3.281,NA,NA
Foucault Studies,18325203,2.977,NA,NA,NA,NA,NA,NA
Foundations and Trends in Communications and Information Theory,15672190,2.347,3.71,2.899,3.303,3.144,4.071,2.473
Foundations and Trends in Computer Graphics and Vision,15722740,6.247,8.088,7.699,2.494,5.18,9.239,6.74
Foundations and Trends in Databases,19317883,NA,NA,NA,4.922,4.099,2.62,3.79
Foundations and Trends in Econometrics,15513076,2.431,NA,NA,NA,NA,NA,NA
Foundations and Trends in Entrepreneurship,15513114,3.198,NA,NA,NA,3.298,NA,NA
Foundations and Trends in Human-Computer Interaction,15513955,NA,NA,2.597,NA,2.186,4.486,2.837
Foundations and Trends in Information Retrieval,15540669,15.709,11.631,5.519,6.269,4.653,6.381,5.325
Foundations and Trends in Machine Learning,19358237,11.205,19.745,10.777,15.162,6.608,5.632,9.319
Foundations and Trends in Microeconomics,15479846,NA,NA,NA,NA,2.243,NA,NA
Foundations and Trends in Networking,1554057X,3.301,NA,NA,NA,NA,NA,2.188
Foundations and Trends in Signal Processing,19328346,NA,3.583,NA,3.524,14.584,NA,4.145
Foundations and Trends in Systems and Control,23256818,NA,NA,NA,12.723,3.232,6.226,4.12
Foundations and Trends in Theoretical Computer Science,1551305X,3.142,NA,NA,4.221,7.956,11.172,6.602
Foundations and Trends in Web Science,1555077X,5.619,7.949,NA,NA,NA,NA,NA
Foundations of Computational Mathematics,16153375,3.628,2.785,2.381,2.58,2.334,2.485,2.372
French Historical Studies,00161071,2.529,NA,NA,NA,NA,NA,NA
Frontiers in Bioengineering and Biotechnology,,NA,NA,2.4,NA,NA,NA,NA
Frontiers in Ecology and the Environment,15409295,3.048,2.778,3.218,3.327,3.567,3.085,3.253
Frontiers in Neuroendocrinology,00913022,2.826,2.36,NA,2.43,2.493,2.833,NA
Frontiers in Neuroenergetics,16626427,NA,NA,NA,NA,2.367,NA,NA
Frontiers in Neuroengineering,16626443,NA,NA,NA,NA,NA,NA,2.945
Fuel,00162361,2.387,2.516,2.281,2.091,2.185,NA,NA
Fuel Processing Technology,03783820,NA,NA,2.206,NA,NA,NA,NA
Functions of Language,0929998X,3.348,NA,NA,NA,NA,NA,NA
Fungal Diversity,15602745,2.555,2.812,2.681,2.665,3.832,4.922,5.097
Future Generation Computer Systems,0167739X,3.058,2.717,3.128,3.336,3.525,2.386,2.464
